#Data_base;CNPJ_da_Administradora;Nome_da_Administradora;Código_do_segmento;Unidade_da_Federação_do_consorciado;Quantidade_de_consorciados_ativos_contemplados_por_lance;Quantidade_de_consorciados_ativos_contemplados_por_sorteio;Quantidade_de_consorciados_ativos_não_contemplados;Quantidade_de_consorciados_excluídos_contemplados;Quantidade_de_consorciados_excluídos_não_contemplados;Quantidade_de_consorciados_ativos_contemplados_por_lance_no_trimestre;Quantidade_de_consorciados_ativos_contemplados_por_sorteio_no_trimestre;Quantidade_de_consorciados_excluídos_contemplados_no_trimestre;Quantidade_de_adesões_no_trimestre
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AC;14;7;58;10;183;0;0;3;12
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AC;0;0;1;0;0;0;0;0;0
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AC;100;32;241;35;236;13;5;12;45
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AC;23;2;47;0;50;20;0;0;34
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AL;72;40;171;97;602;0;1;58;33
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AL;2;0;11;0;11;1;0;0;4
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AL;377;74;698;86;737;38;4;33;138
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AL;26;3;179;4;204;4;1;1;38
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AM;142;93;553;315;2450;4;5;189;110
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AM;1;2;73;2;34;0;0;0;9
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AM;836;243;1924;228;2241;113;24;55;418
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AM;34;7;398;9;500;9;2;3;78
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;AP;15;7;121;17;270;1;0;10;42
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;AP;2;0;7;0;8;0;0;0;1
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;AP;181;43;383;44;506;5;5;11;61
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;AP;8;2;126;1;137;3;1;1;19
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;BA;1152;338;1583;683;6621;69;20;396;339
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;BA;118;6;193;4;114;31;0;0;49
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;BA;17643;980;7091;1155;11673;902;110;373;1792
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;BA;465;19;740;27;1041;109;3;4;177
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;CE;492;128;712;177;2290;45;3;82;157
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;2;CE;10;3;92;3;37;5;1;1;26
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;3;CE;8715;501;4018;438;4330;624;62;147;1190
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;4;CE;379;17;790;12;774;118;5;2;224
202309;00000776;ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;1;DF;365;174;791;298;2006;63;2;174;253
