#Nome_da_Administradora;CNPJ_da_Administradora;Data_base;Código_do_grupo;Código_do_segmento;Número_da_assembléia_geral_ordinária;Valor_médio_do_bem;Índice_de_correção;Taxa_de_administração;Prazo_do_grupo_em_meses;Quantidade_de_cotas_ativas_em_dia;Quantidade_de_cotas_ativas_contempladas_inadimplentes;Quantidade_de_cotas_ativas_não_contempladas_inadimplentes;Quantidade_de_cotas_ativas_contempladas_no_mês;Quantidade_de_cotas_excluídas;Quantidade_de_cotas_ativas_quitadas;Quantidade_de_cotas_ativas_com_crédito_pendente_de_utilização
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00040;1;180;272255,31;3;18,65135;180;373;73;0;0;1721;431;15
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00041;1;180;288848,90;3;17,21443;180;422;84;0;0;1869;493;10
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00043;1;180;269396,83;3;18,29910;180;381;62;0;0;1795;433;10
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00044;1;180;288651,90;3;18,35775;180;385;86;0;0;1827;456;11
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00045;1;180;258187,40;3;18,75243;180;335;77;0;0;1776;393;14
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00046;1;180;280649,13;3;18,53475;180;382;64;0;0;2004;431;10
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00047;1;180;258661,94;3;18,36239;180;362;74;0;0;2035;417;19
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00048;1;180;286363,08;3;16,54573;180;424;68;0;0;2019;472;19
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00049;1;180;262997,10;3;17,88560;180;417;83;0;0;2006;471;27
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00050;1;179;249948,64;3;16,99801;180;394;105;3;0;1885;384;33
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00051;1;178;250867,28;3;16,50427;180;450;87;2;0;2076;371;42
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00052;1;177;260057,82;3;17,02278;180;440;98;2;0;1889;364;50
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00057;1;161;216151,79;3;21,18648;200;547;156;22;6;2930;287;100
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00058;1;158;501734,54;3;19,22820;200;212;291;153;5;2076;166;86
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00061;1;157;181217,63;3;21,34628;200;619;166;15;5;2608;283;121
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00062;1;156;242828,42;3;19,72869;200;557;109;45;9;2200;204;89
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00063;1;156;216282,75;3;10,91300;200;489;107;4;1;655;382;33
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00064;1;156;187975,35;3;21,05307;200;591;197;11;3;2866;286;99
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00065;1;155;216181,57;3;10,76210;200;492;105;2;1;768;346;36
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00066;1;154;191113,75;3;21,20771;200;545;161;20;3;2814;238;103
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00067;1;151;236684,13;3;20,73426;200;458;121;31;5;2176;187;82
ITAÚ ADM DE CONSÓRCIOS LTDA                                 ;00000776;202310;00068;1;153;172127,78;3;21,44524;200;625;154;19;6;3347;256;144
