#Nome_da_Administradora;CNPJ_da_Administradora;Data_base;Código_do_segmento;Taxa_de_administração;Quantidade_de_grupos_ativos;Quantidade_de_grupos_constituídos_no_mês;Quantidade_de_grupos_encerrados_no_mês;Quantidade_de_cotas_comercializadas_no_mês;Quantidade_de_cotas_excluídas_a_comercializar;Quantidade_acumulada_de_cotas_ativas_contempladas;Quantidade_de_cotas_ativas_não_contempladas;Quantidade_de_cotas_ativas_contempladas_no_mês;Quantidade_de_cotas_ativas_em_dia;Quantidade_de_cotas_ativas_contempladas_inadimplentes;Quantidade_de_cotas_ativas_não_contempladas_inadimplentes;Quantidade_de_cotas_excluídas;Quantidade_de_cotas_ativas_quitadas;Quantidade_de_cotas_ativas_com_crédito_pendente_de_utilização
ADEMICON ADM CONS S.A.;84911098;202310;1;23,51959;52;0;0;5909;3792;16346;103021;366;101782;2020;15565;96793;1982;3683
ADEMICON ADM CONS S.A.;84911098;202310;2;0,00000;54;1;1;729;3135;18247;19149;356;33630;1790;1976;17288;7100;1514
ADEMICON ADM CONS S.A.;84911098;202310;3;0,00000;47;2;0;2890;2029;7165;31567;347;33283;734;4715;17079;1426;1722
ADEMICON ADM CONS S.A.;84911098;202310;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADEMICON ADM CONS S.A.;84911098;202310;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADEMICON ADM CONS S.A.;84911098;202310;6;0,00000;2;0;0;91;254;256;748;26;785;57;162;356;3;100
ADM CONS BECKER LTDA;03828278;202310;1;20,92393;6;0;0;18;1701;561;1776;8;2159;65;113;2647;60;119
ADM CONS BECKER LTDA;03828278;202310;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS BECKER LTDA;03828278;202310;3;18,31660;4;0;0;42;776;572;595;8;1050;64;53;1223;140;59
ADM CONS BECKER LTDA;03828278;202310;4;17,24513;12;0;0;70;1993;2829;1205;41;3620;300;114;2751;1203;368
ADM CONS BECKER LTDA;03828278;202310;5;19,45241;15;1;0;97;1171;1588;1449;44;2726;191;120;1542;386;355
ADM CONS BECKER LTDA;03828278;202310;6;18,00000;6;1;0;48;300;411;320;10;666;47;18;386;155;62
ADM CONS NAC HONDA LTDA;45441789;202310;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC HONDA LTDA;45441789;202310;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC HONDA LTDA;45441789;202310;3;15,57990;55;1;1;311;4423;7041;3331;119;9263;811;298;11574;3928;859
ADM CONS NAC HONDA LTDA;45441789;202310;4;22,83830;3194;61;49;77365;849624;1069684;877392;47908;1615092;189506;142478;2007853;353389;45354
ADM CONS NAC HONDA LTDA;45441789;202310;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC HONDA LTDA;45441789;202310;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC VIME LTDA;59999300;202310;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC VIME LTDA;59999300;202310;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC VIME LTDA;59999300;202310;3;17,66000;6;0;0;15;183;559;338;9;781;52;64;1191;230;26
ADM CONS NAC VIME LTDA;59999300;202310;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC VIME LTDA;59999300;202310;5;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS NAC VIME LTDA;59999300;202310;6;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS RCI BRASIL LTDA;73230674;202310;1;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS RCI BRASIL LTDA;73230674;202310;2;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ADM CONS RCI BRASIL LTDA;73230674;202310;3;18,55702;44;1;0;1686;10537;9987;15841;235;21166;1357;3305;56780;2988;1667
ADM CONS RCI BRASIL LTDA;73230674;202310;4;0,00000;0;0;0;0;0;0;0;0;0;0;0;0;0;0
